y_fine,y_physical,y_plus,ux_mean,u_plus
0,8.25,7.73438,0.228014,4.56028
1,8.75,8.20312,0.237605,4.75209
2,9.25,8.67188,0.248662,4.97324
3,9.75,9.14062,0.2589,5.17801
4,10.25,9.60938,0.268487,5.36973
5,10.75,10.0781,0.277522,5.55044
6,11.25,10.5469,0.28603,5.7206
7,11.75,11.0156,0.294056,5.88112
8,12.25,11.4844,0.301582,6.03163
9,12.75,11.9531,0.308664,6.17327
10,13.25,12.4219,0.31525,6.30501
11,13.75,12.8906,0.321398,6.42795
12,14.25,13.3594,0.327165,6.54331
13,14.75,13.8281,0.332469,6.64938
14,15.25,14.2969,0.337408,6.74816
15,15.75,14.7656,0.341925,6.83849
16,16.25,15.2344,0.346074,6.92147
17,16.75,15.7031,0.349841,6.99681
18,17.25,16.1719,0.353256,7.06513
19,17.75,16.6406,0.356293,7.12585
20,18.25,17.1094,0.358982,7.17963
21,18.75,17.5781,0.361312,7.22624
22,19.25,18.0469,0.363308,7.26616
23,19.75,18.5156,0.364953,7.29906
24,20.25,18.9844,0.366254,7.32509
25,20.75,19.4531,0.367171,7.34343
26,21.25,19.9219,0.367768,7.35535
27,21.75,20.3906,0.368002,7.36004
28,22.25,20.8594,0.367928,7.35856
29,22.75,21.3281,0.367556,7.35113
30,23.25,21.7969,0.366882,7.33764
31,23.75,22.2656,0.365946,7.31892
