step,energy_coarse,energy_fine,energy_total
0,492.749,492.424,985.173
500,338.101,313.085,651.186
1000,226.256,196.634,422.89
1500,165.395,118.118,283.513
2000,106.65,63.0514,169.701
2500,92.8087,55.2123,148.021
3000,70.4967,24.2029,94.6996
3500,67.7354,17.672,85.4073
4000,57.2734,12.2735,69.5469
4500,56.3199,12.543,68.8628
5000,52.5856,5.44422,58.0298
5500,52.0087,4.33806,56.3467
6000,50.3,3.98516,54.2852
6500,49.7054,2.97255,52.678
7000,49.2917,1.90799,51.1997
7500,48.6856,1.24281,49.9284
8000,48.6136,1.51251,50.1261
8500,48.123,0.800674,48.9237
9000,48.2154,0.765374,48.9808
9500,47.8313,0.428075,48.2594
10000,47.9016,0.618702,48.5203
